time,time_iso,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730783400.0,2024-11-05T10:40:00,192.168.0.10,10.0.0.5,ICMP,84,,Echo (ping) request,,,8
1730783400.0,2024-11-05T10:40:00,192.168.0.20,10.0.0.10,TCP,74,S,SYN to 10.0.0.10:80,54321,80,
1730783400.0,2024-11-05T10:40:00,192.168.0.30,10.0.0.20,UDP,64,,DNS query,53000,53,
1730783401.0,2024-11-05T10:40:01,192.168.0.11,10.0.0.5,ICMP,98,,Echo (ping) request,,,8
1730783401.0,2024-11-05T10:40:01,192.168.0.20,10.0.0.10,TCP,74,S,SYN to 10.0.0.10:80,54322,80,
1730783401.0,2024-11-05T10:40:01,192.168.0.31,10.0.0.21,UDP,128,,Large UDP payload,53001,9999,
1730783402.0,2024-11-05T10:40:02,192.168.0.12,10.0.0.6,ICMP,72,,Echo (ping) reply,,,0
1730783402.0,2024-11-05T10:40:02,10.0.0.10,192.168.0.20,TCP,74,SA,SYN-ACK from 10.0.0.10:80,80,54321,
1730783402.0,2024-11-05T10:40:02,192.168.0.30,10.0.0.20,UDP,64,,DNS query,53002,53,
1730783403.0,2024-11-05T10:40:03,192.168.0.13,10.0.0.6,ICMP,84,,Echo (ping) request,,,8
1730783403.0,2024-11-05T10:40:03,192.168.0.21,10.0.0.11,TCP,66,PA,HTTP request,50100,443,
1730783403.0,2024-11-05T10:40:03,192.168.0.32,10.0.0.22,UDP,90,,NTP,53003,123,
1730783404.0,2024-11-05T10:40:04,192.168.0.10,10.0.0.7,ICMP,84,,Echo (ping) request,,,8
1730783404.0,2024-11-05T10:40:04,192.168.0.22,10.0.0.12,TCP,60,R,Reset,50101,22,
1730783404.0,2024-11-05T10:40:04,192.168.0.33,10.0.0.23,UDP,70,,Generic UDP,53004,5555,
